Artist,Song Title,Album,Year,Top topic,Second topic,third topic,fourth topic,fifth topic
Ice Cube,Say Hi To The Bad Guy,The Predator,1992,storytelling,society,music,music,culture
LL Cool J,Doin I,Mr Smith,1995,society,storytelling,music,music,culture
Wu-Tang Clan,Catechism,Wu-Chronicles: Chapter II,2001,society,storytelling,music,music,culture
Jay-Z,Lucifer,The Black Album,2003,storytelling,society,religion,music,culture
The Notorius BIG,BIG Interlude,Life After Death,1997,storytelling,society,religion,music,culture
Outkast,Intro,Stankonia,2000,math,culture,society,music,culture
MC Hammer,Black Is Black,Please Hammer Don't Hurt 'Em,1990,revolution,life,society,music,culture
Snoop Dogg,Tha Doggfather,Tha Doggfather,1996,storytelling,life,society,music,culture
Wu-Tang Clan,Tearz (1),Enter The Wu-Tang (36 Chambers),1993,storytelling,life,society,music,culture
Wu-Tang Clan,Tearz,Enter The Wu-Tang (36 Chambers),1993,storytelling,life,society,music,culture
Ice Cube,Ice Cube War &amp; Peace Vol 2: The Peace Disc Can You Bounce,War &amp; Peace Vol. 2: The Peace Disc,2000,society,math,society,music,culture
Run-DMC,Rock The House,King Of Rock,1985,society,music,society,music,culture
Lil Wayne,"Lil Wayne Lil Weezy Ana, Vol1 I Like Da","Lil Weezy Ana, Vol.1",2006,storytelling,music,society,music,culture
Snoop Dogg,French Inhale,Mac &amp; Devin Go To High School,2011,geography,storytelling,society,music,culture
Lil Wayne,Kush,The Leak,2007,music,government,storytelling,music,culture
Beastie Boys,Don't Play No Game That I Can't Win,Hot Sauce Committee Part Two,2011,society,life,storytelling,music,culture
Eminem,Stan,Curtain Call,2005,society,life,storytelling,music,culture
Eminem,Stan,The Marshall Mathers LP,2000,society,life,storytelling,music,culture
Jay-Z,Jay-Z Magna Carta Holy Grail Jay-Z Blue,Magna Carta... Holy Grail,2013,society,life,storytelling,music,culture
Kanye West,Champion,Graduation,2007,society,life,storytelling,music,culture
Lil Wayne,"Lil Wayne Lil Weezy Ana, Vol1 Donks","Lil Weezy Ana, Vol.1",2006,society,life,storytelling,music,culture
Lil Wayne,Get Too Comfortable,The Drought Is Over Part 4,2007,society,life,storytelling,music,culture
The Notorius BIG,Long Kiss Goodnigh,Life After Death,1997,society,life,storytelling,music,culture
Wu-Tang Clan,KB Ridin',Killa Beez: The Sting,2002,society,life,storytelling,music,culture
Nas,These Are Our Heroes,Street's Disciple,2004,society,music,storytelling,music,culture
Tupac,All Bout U,All Eyez On Me,1996,society,music,storytelling,music,culture
Tupac,All Bout U,Greatest Hits,1998,society,music,storytelling,music,culture
Nas,My Country,Stillmatic,2001,life,society,storytelling,music,culture
LL Cool J,Hush,The DEFinition,2004,society,storytelling,storytelling,music,culture
2 Live Crew,Do the Damn Thing,Shake a Lil' Somethin',1996,society,war,storytelling,music,culture
Busta Rhymes,Intro - The Abstract &amp; The Dragon Speak,The Return Of The Dragon: The Abstract Went On Vacation,2015,society,math,life,mythology,culture
Nas,Remember The Times,Street's Disciple,2004,society,storytelling,life,mythology,culture
Kanye West,Runaway,My Beautiful Dark Twisted Fantasy,2010,society,storytelling,life,politics,culture
Kanye West,Black Skinhead[Blkkk Skkkn Head],Yeezus,2013,society,storytelling,biology,religion,culture
"Tyler, the Creator",Tina,Bastard,2009,society,music,life,religion,culture
Kanye West,Blame Game,My Beautiful Dark Twisted Fantasy,2010,society,storytelling,life,religion,culture
Tupac,A Crooked Nigga Too,Loyal To The Game,2004,society,storytelling,life,religion,culture
Wu-Tang Clan,Never Let Go,A Better Tomorrow,2014,society,storytelling,life,religion,culture
Eminem,Intro (Slim Shady),Slim Shady EP,1998,society,storytelling,music,religion,culture
Lil Wayne,Competition (Interlude),Dedication 5,2013,society,culture,religion,religion,culture
Wu-Tang Clan,Wu-Tang Clan Ain't Nuthing Ta F' Wit (1),Enter The Wu-Tang (36 Chambers),1993,storytelling,geography,society,religion,culture
Wu-Tang Clan,Wu-Tang Clan Ain't Nuthing Ta F' Wi,Enter The Wu-Tang (36 Chambers),1993,storytelling,geography,society,religion,culture
Lil Wayne,Ridin Wit The AK,Dedication 2: Gangsta Grillz,2006,society,life,storytelling,religion,culture
LL Cool J,6 Minutes Of Pleasure,Mama Said Knock You Out,1990,society,music,storytelling,religion,culture
LL Cool J,LL Cool J GOAT (Greatest Of All Time) Homicide,G.O.A.T. (Greatest Of All Time),2000,life,society,storytelling,religion,culture
Lil Wayne,"Lil Wayne Lil Weezy Ana, Vol1 I'm The Man","Lil Weezy Ana, Vol.1",2006,life,storytelling,music,revolution,culture
Kanye West,Celebration,Late Registration,2005,society,life,biology,society,culture
De La Soul,De La Soul Smell The DaISY Let The King Ascend,Smell The Da.I.S.Y.,2014,storytelling,society,biology,society,culture
Ice Cube,Doin' What It 'Pose 2Do,"Laugh Now, Cry Later",2006,life,storytelling,biology,society,culture
Kendrick Lamar,Kendrick Lamar Good Kid: MAAD City Swimming Pools (Drank),Good Kid: M.A.A.D City,2012,life,society,geography,society,culture
Public Enemy,Cold Lampin' With Flavor,It Takes A Nation Of Millions To Hold Us Back,1988,music,society,geography,society,culture
Chance the Rapper,Hey Ma,10 Day,2012,storytelling,music,life,society,culture
Nas,Africa Must Wake Up,Distant Relatives,2010,storytelling,religion,life,society,culture
Coolio,I Like Girls,El Cool Magnifico,2002,society,storytelling,life,society,culture
Drake,Cameras,Take Care,2011,society,storytelling,life,society,culture
Grand Master Flash,She's Fresh,The Message,1982,society,storytelling,life,society,culture
De La Soul,IC Y'all,Art Official Intelligence: Mosaic Thump,2000,biology,biology,music,society,culture
Jay-Z,"Girls, Girls, Girls (Remix)",The Blueprint,2001,storytelling,biology,music,society,culture
Jay-Z,Naked,The Best Of Both Worlds,2002,storytelling,culture,music,society,culture
De La Soul,Long Island Wildin',Buhloone Mind State,1993,culture,music,music,society,culture
Tupac,Redemption,R U Still Down? (Remember Me),1997,war,music,music,society,culture
Kanye West,Paranoid,808s &amp; Heartbreak,2008,society,storytelling,music,society,culture
Snoop Dogg,I Love My Momma (1),No Limit Top Dogg,1999,storytelling,war,music,society,culture
Snoop Dogg,I Love My Momma,No Limit Top Dogg,1999,storytelling,war,music,society,culture
Busta Rhymes,Make Noise,Anarchy,2000,music,society,religion,society,culture
Public Enemy,Everything,The Evil Empire Of Everything,2012,music,life,society,society,culture
Jay-Z,Fuck All Nite,The Blueprint 2: The Gift &amp; The Curse,2002,storytelling,music,society,society,culture
Public Enemy,Go Cat Go,He Got Game,1998,biology,life,storytelling,society,culture
Kendrick Lamar,Momma,To Pimp A Butterfly,2015,society,life,storytelling,society,culture
Kanye West,Lil Jimmy Ski,College Dropout,2004,life,society,storytelling,society,culture
Lil Wayne,Beat The Shi,I Am Not A Human Being II,2013,storytelling,religion,geography,storytelling,culture
Public Enemy,Death Of A Carjacka,Muse Sick-N-Hour Mess Age,1994,society,biology,life,storytelling,culture
Lil Wayne,Crystal Ball,No Ceilings 2,2015,society,government,life,storytelling,culture
Run-DMC,Run-DMC Run-DMC It's Like Tha,Run-D.M.C.,1984,society,life,life,storytelling,culture
Lil Wayne,Upgrade U,Da Drought 3,2007,society,music,life,storytelling,culture
Drake,Successful,So Far Gone,2009,music,society,life,storytelling,culture
Snoop Dogg,Get Bout It &amp; Rowdy,"The Game Is To Be Sold, Not To Be Told",1998,music,society,life,storytelling,culture
Jay-Z,Jay-Z Vol 3 Life And Times Of S Carter Anything[Japanese Bonus Track],Vol. 3... Life And Times Of S. Carter,1999,society,storytelling,life,storytelling,culture
LL Cool J,Starsky &amp; Hutch,Phenomenon,1997,society,storytelling,life,storytelling,culture
Nas,Some Of Us Have Angels,Nastradamus,1999,society,storytelling,life,storytelling,culture
Tupac,Changes,Greatest Hits,1998,society,storytelling,life,storytelling,culture
Lil Wayne,Gettin Some Head,Dedication 2: Gangsta Grillz,2006,society,biology,music,storytelling,culture
Snoop Dogg,Been Around Tha World,Ego Trippin',2008,society,life,music,storytelling,culture
Outkast,Morris Brown,Idlewild,2006,society,music,music,storytelling,culture
Lil Wayne,Walk It Off,Dedication 2: Gangsta Grillz,2006,life,society,music,storytelling,culture
Kanye West,I Am A God,Yeezus,2013,religion,society,music,storytelling,culture
Beastie Boys,All Lifestyles,To The 5 Boroughs,2004,society,biology,society,storytelling,culture
LL Cool J,No Airplay,Mr Smith,1995,music,music,society,storytelling,culture
Lil Wayne,Psycho,Free Weezy Album,2015,life,storytelling,society,storytelling,culture
Jay-Z,Lost One,Kingdom Come,2006,society,life,storytelling,storytelling,culture
Drake,Let's Call It Off,So Far Gone,2009,society,music,storytelling,storytelling,culture
A Tribe Called Quest,Bonita Applebum,People's Instinctive Travels and the Paths of Rhythm,1990,music,society,storytelling,storytelling,culture
A Tribe Called Quest,Bonita Applebum,The Anthology,1999,music,society,storytelling,storytelling,culture
Ice Cube,Ice Cube War &amp; Peace Vol 1: The War Disc War &amp; Peace,War &amp; Peace Vol. 1: The War Disc,1998,storytelling,biology,biology,war,culture
Snoop Dogg,That's Tha Homie (1),Malice N Wonderland,2009,music,music,biology,war,culture
Snoop Dogg,That's Tha Homie,Malice N Wonderland,2009,music,music,biology,war,culture
LL Cool J,Like A Radio,Exit 13,2008,storytelling,music,life,war,culture
Snoop Dogg,Sixx Minutes,Tha Doggfather,1996,society,music,music,war,culture
Grand Master Flash,Scorpio,The Message,1982,biology,storytelling,society,war,culture
Coolio,Hand On My Nutsac,It Takes A Thief,1994,music,storytelling,society,war,culture
Nas,Ghetto Prisoners,I Am,1999,biology,society,storytelling,war,culture
Beastie Boys,Too Many Rappers (New Reactionaries Version),Hot Sauce Committee Part Two,2011,music,society,storytelling,war,culture
Eminem,Intro,Curtain Call,2005,storytelling,music,biology,art,geography
Outkast,N2U,Idlewild,2006,music,society,culture,art,geography
Wu-Tang Clan,Sheep State,Wu-Tang Chamber Music,2009,biology,society,biology,biology,geography
Kanye West,Coldest Winter,808s &amp; Heartbreak,2008,storytelling,biology,culture,biology,geography
Outkast,Good Hair (Interlude),Stankonia,2000,storytelling,music,geography,biology,geography
Kanye West,Lost In The World,My Beautiful Dark Twisted Fantasy,2010,storytelling,society,life,biology,geography
Eminem,Without Me,Curtain Call,2005,society,storytelling,life,biology,geography
Eminem,Without Me,The Eminem Show,2002,society,storytelling,life,biology,geography
Jay-Z,This Can't Be Life,The Dynasty Roc La Familia,2000,society,storytelling,life,biology,geography
De La Soul,De La Soul The Impossible: Mission TV Series: Pt 1 What The Fuck #1,The Impossible: Mission TV Series: Pt. 1,2006,society,storytelling,music,biology,geography
NWA,Something 2 Dance 2,Straight Outta Compton,1988,society,storytelling,music,biology,geography
Eminem,Curtains Up (Skit),The Eminem Show,2002,music,government,politics,biology,geography
Public Enemy,Bedlam 13:13,Muse Sick-N-Hour Mess Age,1994,storytelling,life,society,biology,geography
Drake,Little Bi,So Far Gone,2009,storytelling,society,society,biology,geography
2 Live Crew,S &amp; M,Move Somethin',1987,life,storytelling,society,biology,geography
Wu-Tang Clan,Free Like ODB (1),Wu-Tang Chamber Music,2009,society,biology,storytelling,biology,geography
Wu-Tang Clan,Free Like ODB,Wu-Tang Chamber Music,2009,society,biology,storytelling,biology,geography
Eminem,Public Enemy #1,Eminem Presents The Re-Up,2006,society,life,storytelling,biology,geography
Lil Wayne,Itchin,Dedication 5,2013,society,life,storytelling,biology,geography
Outkast,Skew It on the Bar-B,Aquemini,1998,society,life,storytelling,biology,geography
Slum Village,Slum Village Fan-Tas-Tic Vol 1 5 Ela Remi,Fan-Tas-Tic Vol 1.,2005,society,music,storytelling,biology,geography
LL Cool J,Get Da Drop On Em,Mr Smith,1995,music,society,storytelling,biology,geography
Drake,Madonna,If You're Reading This It's Too Late,2015,storytelling,society,war,biology,geography
Wu-Tang Clan,The Abbo,Wu-Tang Chamber Music,2009,society,society,government,chemistry,geography
De La Soul,CBGBS,And The Anonymous Nobody,2016,storytelling,life,life,culture,geography
LL Cool J,Shake It Baby,The DEFinition,2004,society,storytelling,life,culture,geography
Wu-Tang Clan,One Blood Under W,The W,2000,life,war,music,culture,geography
Nas,Nah Mean,Distant Relatives,2010,math,storytelling,society,culture,geography
Nas,Hold Down The Block,Hip Hop Is Dead,2006,society,math,storytelling,culture,geography
De La Soul,Transmitting Live From Mars,3 Feet High And Rising,1989,culture,geography,geography,geography,geography
Beastie Boys,The Bill Harper Collection,Hot Sauce Committee Part Two,2011,biology,storytelling,life,geography,geography
A Tribe Called Quest,What Really Goes On,Beats Rhymes and Life,1996,society,storytelling,life,geography,geography
Drake,4422,More Life,2017,society,society,politics,geography,geography
"Tyler, the Creator",Domo23,Wolf,2013,society,life,religion,geography,geography
Outkast,Outkast Speakerboxxx  The Love Below The Love Below (Intro),Speakerboxxx / The Love Below,2003,geography,biology,society,geography,geography
Busta Rhymes,Wine &amp; Go Down,Year Of The Dragon,2012,culture,storytelling,society,geography,geography
Wu-Tang Clan,In Trouble,Wu-Chronicles: Chapter II,2001,life,society,storytelling,geography,geography
Snoop Dogg,Batman &amp; Robin,Paid Tha Cost To Be Da Boss,2002,society,storytelling,storytelling,geography,geography
Jay-Z,Bring It On,Reasonable Doubt,1996,society,life,life,government,geography
Busta Rhymes,Everybody Rise Again,Genesis,2001,society,storytelling,biology,life,geography
Lil Wayne,On Fire,Rebirth,2010,society,storytelling,biology,life,geography
Wu-Tang Clan,Unpredictable,8 Diagrams,2007,society,storytelling,biology,life,geography
Run-DMC,Queens Day,Crown Royal,2001,society,storytelling,geography,life,geography
Snoop Dogg,Lighters Up,Reincarnated,2013,society,storytelling,geography,life,geography
Beastie Boys,Ch-Check It Ou,To The 5 Boroughs,2004,society,storytelling,government,life,geography
Ice Cube,My Summer Vacation,Death Certificate,1991,storytelling,society,life,life,geography
Tupac,Fame,Better Dayz,2002,storytelling,society,life,life,geography
Lil Wayne,Fly Ou,Tha Carter II,2005,society,storytelling,life,life,geography
Outkast,Babylon,ATLiens,1996,society,storytelling,life,life,geography
Kendrick Lamar,Kendrick Lamar Section80 Rigamortus,Section.80,2011,storytelling,society,music,life,geography
Snoop Dogg,Harder Times[Deluxe Edition Bonus Track],Reincarnated,2013,society,storytelling,music,life,geography
Wu-Tang Clan,Wu-Tang Reunion,A Better Tomorrow,2014,society,storytelling,music,life,geography
Busta Rhymes,Intro,When Disaster Strikes,1997,society,life,religion,life,geography
Beastie Boys,Oh Word?,To The 5 Boroughs,2004,storytelling,meanings,society,life,geography
Wu-Tang Clan,Conditioner,The W,2000,music,storytelling,society,life,geography
A Tribe Called Quest,1nce Again,Beats Rhymes and Life,1996,society,biology,storytelling,life,geography
Lil Wayne,Protector (Skit),"Like Father, Like Son",2006,society,government,storytelling,life,geography
Snoop Dogg,Dick Walk (1),That's My Work 3,2014,music,life,storytelling,life,geography
Snoop Dogg,Dick Walk,That's My Work 3,2014,music,life,storytelling,life,geography
Jay-Z,Jay-Z Magna Carta Holy Grail FUTW,Magna Carta... Holy Grail,2013,society,life,storytelling,life,geography
Drake,Redemption,Views,2016,society,music,storytelling,life,geography
Wu-Tang Clan,Above The Clouds,Wu-Chronicles: Chapter II,2001,society,religion,storytelling,life,geography
NWA,NWA NWA And The Posse LA Is The Place,N.W.A. And The Posse,1987,geography,society,storytelling,life,geography
Eminem,Shady Narcotics (Eminem Intro),Eminem Presents The Re-Up,2006,music,society,art,math,geography
Wu-Tang Clan,NYC Crack,Wu-Tang Chamber Music,2009,storytelling,society,life,math,geography
Outkast,Outkast Speakerboxxx  The Love Below Love In War,Speakerboxxx / The Love Below,2003,storytelling,society,music,math,geography
Lil Wayne,Wowzers,I Am Not A Human Being II,2013,storytelling,life,life,meanings,geography
Busta Rhymes,Everything Remains Raw,The Coming,1996,society,storytelling,life,meanings,geography
A Tribe Called Quest,Give Me,The Love Movement,1998,society,music,art,music,geography
Eric B & Rakim,Untouchables,Let The Rhythm Hit 'Em,1990,society,life,biology,music,geography
Public Enemy,First The Sheep Next The Shepherd?,There's A Poison Goin On,1999,storytelling,mythology,biology,music,geography
Snoop Dogg,Let Me Explain,That's My Work 2,2013,storytelling,society,biology,music,geography
Wu-Tang Clan,Da Mystery Of Chessboxin',Enter The Wu-Tang (36 Chambers),1993,society,storytelling,biology,music,geography
2 Live Crew,Table Dance,Shake a Lil' Somethin',1996,music,society,government,music,geography
Busta Rhymes,Busta Rhymes It Ain't Safe No More Till It's Gone,It Ain't Safe No More...,2002,society,life,life,music,geography
Run-DMC,Ay Papi,Crown Royal,2001,society,music,life,music,geography
2 Live Crew,2 Live Crew Banned in the USA Strip Club,Banned in the U.S.A.,1990,storytelling,society,life,music,geography
Public Enemy,Yo! Bumrush The Show,Yo! Bum Rush The Show,1987,storytelling,society,life,music,geography
Coolio,Bright As The Sun,Gangsta's Paradise,1995,society,storytelling,life,music,geography
De La Soul,The Bizness,Stakes Is High,1996,society,storytelling,life,music,geography
Nas,Rule,Stillmatic,2001,society,storytelling,life,music,geography
Wu-Tang Clan,Gravel Pi,The W,2000,society,storytelling,life,music,geography
De La Soul,Intro (Da La Soal Is Dead),De La Soul Is Dead,1991,storytelling,society,music,music,geography
Beastie Boys,Stand Together,Check Your Head,1992,society,storytelling,music,music,geography
Busta Rhymes,For The Nasty,The Abstract And The Dragon,2014,society,storytelling,music,music,geography
Public Enemy,Shake Your Booty,He Got Game,1998,society,storytelling,music,music,geography
Slum Village,Slum Village Fan-Tas-Tic Vol 1 I Don't Know,Fan-Tas-Tic Vol 1.,2005,society,religion,mythology,music,geography
Slum Village,"Slum Village Fantastic, Vol 2 I Don't Know","Fantastic, Vol. 2",2000,society,religion,mythology,music,geography
Lil Wayne,Gunwalk,I Am Not A Human Being II,2013,war,biology,society,music,geography
Chance the Rapper,All Nigh,Coloring Book,2016,storytelling,society,society,music,geography
Eminem,Cum On Everybody,Slim Shady LP,1999,life,storytelling,society,music,geography
Busta Rhymes,Hot Fudge,The Coming,1996,society,geography,storytelling,music,geography
Tupac,California Love,All Eyez On Me,1996,society,geography,storytelling,music,geography
Tupac,California Love,Greatest Hits,1998,society,geography,storytelling,music,geography
Beastie Boys,Sounds of Science,Paul's Boutique,1989,society,life,storytelling,music,geography
De La Soul,Wonce Again Long Island,Stakes Is High,1996,society,life,storytelling,music,geography
Kendrick Lamar,P&amp;P 15,Overly Dedicated,2010,society,life,storytelling,music,geography
Lil Wayne,Hollyweezy,Sorry 4 The Wait 2,2015,society,life,storytelling,music,geography
Run-DMC,Ahhh,Crown Royal,2001,society,life,storytelling,music,geography
A Tribe Called Quest,Keeping It Moving,Beats Rhymes and Life,1996,society,music,storytelling,music,geography
A Tribe Called Quest,Keeping It Moving,The Anthology,1999,society,music,storytelling,music,geography
Drake,Intro,Room For Improvement,2006,society,music,storytelling,music,geography
Busta Rhymes,Keepin' It Tigh,Extinction Level Event,1998,life,society,storytelling,music,geography
De La Soul,Come On Down,The Grind Date,2004,life,society,storytelling,music,geography
Snoop Dogg,OG,Mac &amp; Devin Go To High School,2011,life,society,storytelling,music,geography
Snoop Dogg,Pop Pop Bang,That's My Work 3,2014,life,society,storytelling,music,geography
LL Cool J,Hollis To Hollywood,Mr Smith,1995,society,storytelling,storytelling,music,geography
Tupac,NIGGA (Never Ignorant About Getting Goals Accomplished),Loyal To The Game,2004,storytelling,life,music,religion,geography
De La Soul,Royalty Capes,And The Anonymous Nobody,2016,storytelling,life,society,religion,geography
The Notorius BIG,1970 Somethin',Duets: The Final Chapter,2005,life,storytelling,society,religion,geography
Lil Wayne,FuckWitMeUKnowIGotI,Dedication 5,2013,society,life,storytelling,religion,geography
Ice Cube,"Click, Clack - Get Back!","Laugh Now, Cry Later",2006,society,music,storytelling,religion,geography
Lil Wayne,I'm Me,The Leak,2007,society,music,storytelling,religion,geography
Nas,Ancient People[Bonus Track],Distant Relatives,2010,politics,society,storytelling,religion,geography
De La Soul,"Me, Myself And I",3 Feet High And Rising,1989,storytelling,society,biology,society,geography
Ice Cube,Life In California,I Am The West,2010,society,life,geography,society,geography
De La Soul,Dinninni,Stakes Is High,1996,storytelling,life,life,society,geography
Nas,Money Is My Bitch,I Am,1999,government,life,music,society,geography
Snoop Dogg,U Betta Recognize (Pump Pump Intro) (1),Doggystyle,1993,music,storytelling,religion,society,geography
Snoop Dogg,U Betta Recognize (Pump Pump Intro),Doggystyle,1993,music,storytelling,religion,society,geography
Snoop Dogg,Coolaid Man,COOLAID,2016,storytelling,music,society,society,geography
Chance the Rapper,Merry Christmas Lil' Mama,Merry Christmas Lil' Mama,2016,music,religion,society,society,geography
"Tyler, the Creator",Slow It Down,Bastard,2009,music,storytelling,society,society,geography
Tupac,Homeboyz,Still I Rise,1999,life,culture,storytelling,society,geography
Lil Wayne,Drop It Like It's Ho,Tha Block Is Hot,1999,biology,music,war,society,geography
Kanye West,Real Friends,The Life Of Pablo,2016,life,society,biology,storytelling,geography
Busta Rhymes,Busta Rhymes Back On My BS Kill Dem,Back On My B.S.,2009,society,culture,geography,storytelling,geography
Dr Dre,Intro,Compton,2015,math,life,government,storytelling,geography
De La Soul,In The Woods,Buhloone Mind State,1993,society,music,government,storytelling,geography
Busta Rhymes,Busta Rhymes Back On My BS Arab Money,Back On My B.S.,2009,culture,politics,government,storytelling,geography
A Tribe Called Quest,I Left My Wallet in El Segundo,People's Instinctive Travels and the Paths of Rhythm,1990,life,society,life,storytelling,geography
A Tribe Called Quest,I Left My Wallet in El Segundo,The Anthology,1999,life,society,life,storytelling,geography
Kendrick Lamar,Kendrick Lamar Good Kid: MAAD City Swimming Pools (Black Hippy Remix)[Deluxe Edition Bonus Track],Good Kid: M.A.A.D City,2012,society,society,life,storytelling,geography
Wu-Tang Clan,La Rhumba (Re-mix),Killa Beez: The Sting,2002,storytelling,war,life,storytelling,geography
Drake,Skepta Interlude,More Life,2017,biology,storytelling,math,storytelling,geography
Run-DMC,I'm Not Going Out Like Tha,Tougher Than Leather,1988,society,life,music,storytelling,geography
Drake,Ice Melts,More Life,2017,society,music,religion,storytelling,geography
Dr Dre,Bitch Ass Niggaz,2001,1999,music,society,religion,storytelling,geography
Eminem,Amityville,The Marshall Mathers LP,2000,life,geography,society,storytelling,geography
Beastie Boys,Just A Tes,Hello Nasty,1998,society,life,society,storytelling,geography
Public Enemy,Black Steel In The Hour Of Chaos,It Takes A Nation Of Millions To Hold Us Back,1988,life,society,war,storytelling,geography
Outkast,Outkast Speakerboxxx  The Love Below E-Mac (Interlude),Speakerboxxx / The Love Below,2003,life,geography,geography,war,geography
Snoop Dogg,Game Cour,Tha Last Meal,2000,politics,society,life,war,geography
Ice Cube,A Boy Was Conceived (Intro),I Am The West,2010,society,society,storytelling,war,geography
Kendrick Lamar,Kendrick Lamar Good Kid: MAAD City Poetic Justice,Good Kid: M.A.A.D City,2012,society,storytelling,music,art,government
Nas,Get Down,God's Son,2002,life,storytelling,society,art,government
Wu-Tang Clan,Sheep State (1),Wu-Tang Chamber Music,2009,biology,society,biology,biology,government
Snoop Dogg,Do My Thang,7 Days Of Funk,2013,society,society,biology,biology,government
Busta Rhymes,Busta Rhymes Back On My BS We Miss You,Back On My B.S.,2009,storytelling,society,biology,biology,government
Kendrick Lamar,Kendrick Lamar Section80 Chapter Si,Section.80,2011,storytelling,society,biology,biology,government
Wu-Tang Clan,"Careful (Click, Click)",The W,2000,life,meanings,geography,biology,government
De La Soul,Sunshine,Stakes Is High,1996,storytelling,society,geography,biology,government
Busta Rhymes,I'm Talking To You,Year Of The Dragon,2012,society,music,life,biology,government
Busta Rhymes,Busta Rhymes Back On My BS Decision,Back On My B.S.,2009,society,storytelling,life,biology,government
Drake,Jorja Interlude,More Life,2017,society,storytelling,life,biology,government
Jay-Z,It Ain't Personal,The Best Of Both Worlds,2002,society,storytelling,life,biology,government
LL Cool J,You're My Hear,Walking With The Panther,1989,society,storytelling,life,biology,government
Nas,Reach Ou,Life Is Good,2012,society,storytelling,life,biology,government
Snoop Dogg,Tired Of Running,Reincarnated,2013,life,society,music,biology,government
Drake,Too Good,Views,2016,society,storytelling,music,biology,government
Tupac,Where Do We Go From Here (interlude),R U Still Down? (Remember Me),1997,storytelling,life,society,biology,government
De La Soul,Cool Breeze On The Rocks,3 Feet High And Rising,1989,music,society,society,biology,government
Wu-Tang Clan,"Wu-Tang Clan RZA Presents Wu-Tang Killa Bees: The Swarm, Vol 1 Bronx War Stories","RZA Presents Wu-Tang Killa Bees: The Swarm, Vol. 1",1998,life,storytelling,society,biology,government
Wu-Tang Clan,Duck Season,Wu-Tang Forever,1997,life,storytelling,society,biology,government
Chance the Rapper,Everybody's Something,Acid Rap,2013,society,life,storytelling,biology,government
Kanye West,New God Flow,Cruel Summer,2012,society,life,storytelling,biology,government
Public Enemy,"Caught, Can We Get A Witness?",It Takes A Nation Of Millions To Hold Us Back,1988,society,music,storytelling,biology,government
De La Soul,Big Mouf,Are You In?: Nike + Original Run,2009,life,society,storytelling,biology,government
Tupac,Panther Power,Resurrection,2003,life,society,storytelling,biology,government
A Tribe Called Quest,Mr Muhammad,People's Instinctive Travels and the Paths of Rhythm,1990,music,society,storytelling,biology,government
Tupac,Black Starry Night (Interlude),R U Still Down? (Remember Me),1997,society,music,biology,culture,government
LL Cool J,Droppin Em,Walking With The Panther,1989,storytelling,society,life,culture,government
The Notorius BIG,Nasty Girl,Duets: The Final Chapter,2005,storytelling,society,life,culture,government
Jay-Z,The Best Of Both Worlds,The Best Of Both Worlds,2002,society,life,music,culture,government
Lil Wayne,"Lil Wayne Lil Weezy Ana, Vol1 Vans","Lil Weezy Ana, Vol.1",2006,storytelling,music,music,culture,government
Snoop Dogg,I'll Be There 4U,7 Days Of Funk,2013,society,storytelling,music,culture,government
LL Cool J,That's A Lie,Radio,1985,storytelling,life,society,culture,government
Kendrick Lamar,Kendrick Lamar Untitled Unmastered Untitled 07 L 2014 - 2016,Untitled Unmastered.,2016,society,music,storytelling,culture,government
Wu-Tang Clan,Tar Pit[Non-US Additional Track],8 Diagrams,2007,society,music,biology,geography,government
Nas,America,Untitled,2008,society,storytelling,life,geography,government
Lil Wayne,Still I Rise,Dedication 3,2008,society,music,music,geography,government
Lil Wayne,I'm So Over You[Deluxe Edition Bonus Track],Rebirth,2010,society,religion,music,geography,government
Wu-Tang Clan,Wu-Tang Clan Dreddy Kruger Presents Think Differently Music: Wu-tang Meets The Indie Culture Preservation,Dreddy Kruger Presents... Think Differently Music: Wu-tang Meets The Indie Culture,2005,society,storytelling,music,geography,government
Eminem,Paul (Skit),The Marshall Mathers LP,2000,music,life,religion,geography,government
LL Cool J,Milky Cereal,Mama Said Knock You Out,1990,life,storytelling,society,geography,government
Beastie Boys,Remote Control,Hello Nasty,1998,society,society,storytelling,geography,government
Kendrick Lamar,Kendrick Lamar Section80 Chapter Ten,Section.80,2011,society,culture,culture,government,government
De La Soul,Paul's Revenge,Buhloone Mind State,1993,music,biology,geography,government,government
Kanye West,Street Lights,808s &amp; Heartbreak,2008,society,society,life,government,government
Nas,If I Ruled The World,It Was Written,1996,storytelling,society,life,government,government
Public Enemy,White Heaven  Black Hell,Muse Sick-N-Hour Mess Age,1994,revolution,storytelling,life,government,government
Ice Cube,A Bird In The Hand,Death Certificate,1991,society,life,music,government,government
Kanye West,No More Parties In LA,The Life Of Pablo,2016,society,life,storytelling,government,government
Nas,Untitled,Untitled,2008,society,life,storytelling,government,government
Busta Rhymes,Against All Odds,Extinction Level Event,1998,storytelling,society,biology,life,government
Lil Wayne,Over Here Hustlin',"Like Father, Like Son",2006,society,music,culture,life,government
Wu-Tang Clan,"Wu-Tang Clan RZA Presents Wu-Tang Killa Bees: The Swarm, Vol 1 The Legacy","RZA Presents Wu-Tang Killa Bees: The Swarm, Vol. 1",1998,society,chemistry,geography,life,government
Beastie Boys,Say I,Hot Sauce Committee Part Two,2011,society,music,geography,life,government
